tract,USP_2012,USS_2012,USC_2012,USP_2016,USS_2016,USC_2016,USP_CHANGE,USS_CHANGE,USC_CHANGE,POPDENSITY_2015,POPDENSITY_CHANGE,NONWHITE_2015,NONWHITE_CHANGE,UNEMPLOYMENT_2015,UNEMPLOYMENT_CHANGE,COLLEGE_2015,COLLEGE_CHANGE,INCOME_2015,INCOME_CHANGE
1400000US42049002600,-0.544406804,-0.532059353,-0.469277224,-0.389760942,-0.362439527,1,0.154645862,0.169619826,1.469277224,8775.862069,-0.058932286,28.8,0.484536082,11,1.558139535,18,0.052631579,42473,0.016854605
1400000US42049002700,-0.383504779,-0.354365684,-0.344139867,-0.149966159,-0.167829742,1,0.23353862,0.186535942,1.344139867,4395.15615,0.005687618,16.6,0.099337748,6.2,-0.114285714,19.5,0.059782609,43430,0.111907627
1400000US42049002800,-0.296957789,-0.258031835,-0.232979485,-0.159037369,-0.12528107,1,0.13792042,0.132750765,1.232979485,6140.144665,-0.067426531,9.4,-0.168141593,6.4,-0.098591549,30.7,0.158490566,39854,-0.082085771
1400000US42049002900,-0.216169607,-0.203217011,-0.155114087,-0.174758466,-0.112512801,1,0.041411141,0.09070421,1.155114087,3101.538462,-0.062034739,9.2,1.139534884,6.2,0,47.5,0.072234763,75613,0.248810861
1400000US42049003000,-0.307668998,-0.30341488,-0.280911326,-0.114270551,-0.114440439,1,0.193398447,0.188974441,1.280911326,5308.051342,0.174845041,20.8,1.929577465,9.3,2.444444444,29.2,0.123076923,48068,0.285206278
1400000US42049010101,0.013442868,0.109599395,0.071537291,0.291637386,0.249823071,1,0.278194518,0.140223676,0.928462709,90.95043201,0.00235849,1.4,-0.70212766,11.6,-0.2,13.3,-0.284946237,45185,0.090029672
1400000US42049010103,-0.00269179,0.097297297,0.021709634,0.314102564,0.274484536,1,0.316794354,0.177187239,0.978290366,48.16746513,-0.007778318,1.4,-0.75862069,6.5,-0.308510638,13.5,0.285714286,51417,0.320789129
1400000US42049010104,0.038679245,0.069325736,0.056190476,0.311950791,0.279398762,1,0.273271546,0.210073026,0.943809524,64.92487105,-0.077290837,4.1,-0.023809524,5.7,-0.017241379,15.1,-0.006578947,58715,0.15140997
1400000US42049010107,-0.086124402,-0.031948882,-0.041733547,0.183431953,0.178041543,1,0.269556355,0.209990425,1.041733547,1411.87384,-0.051122195,4.1,0,4.8,-0.076923077,14.3,-0.013793103,46818,0.11066828
1400000US42049010201,-0.121771591,-0.055290063,-0.045301894,0.153978113,0.171721017,0.989120075,0.275749704,0.22701108,1.034421969,1399.631676,0.002638522,4.6,0.314285714,6.3,0.211538462,22.8,1.111111111,47827,0.131919627
1400000US42049010202,-0.019158415,0.041606788,0.051433224,0.226035194,0.230136978,0.59958182,0.245193609,0.18853019,0.548148596,158.1074449,0.007171754,3,0.153846154,7.2,-0.111111111,17.5,0.029411765,48533,-0.043684729
1400000US42049010301,-0.125,-0.065502183,0.069767442,0.20661157,0.174089069,0.167381974,0.33161157,0.239591252,0.097614532,130.0438831,0.024667932,1.8,-0.181818182,7,0.228070175,21.6,-0.129032258,54765,-0.004978288
1400000US42049010303,0.07030523,0.109462306,0.133891536,0.160369723,0.201747487,1,0.090064493,0.092285181,0.866108464,261.2052026,0.010314875,4.5,-0.357142857,3.1,-0.602564103,38.7,0.372340426,73180,0.206436084
